git id,name,symbol
1790,WomenCoin,WOMEN
1792,Virta Unique Coin,VUC
1793,Bitdeal,BDL
1795,Sphre AIR ,XID
1797,DaxxCoin,DAXX
1799,Rupee,RUP
1801,Global Tour Coin,GTC
1803,PeepCoin,PCN
1805,Sovereign Hero,HERO
1807,Santiment Network Token,SAN
1808,OmiseGO,OMG
1809,TerraNova,TER
1810,CVCoin,CVCOIN
1811,Nimiq Exchange Token,NET
1812,Rialto,XRL
1814,Linda,LINDA
1815,Embers,MBRS
1816,Civic,CVC
1817,Ethos,ETHOS
1818,Bit20,BTWTY
1819,Starta,STA
1824,BitCoal,COAL
1825,LiteBitcoin,LBTC
1826,Particl,PART
1828,SmartCash,SMART
1830,SkinCoin,SKIN
1831,Bitcoin Cash,BCH
1832,HarmonyCoin,HMC
1833,ToaCoin,TOA
1834,Pillar,PLR
1835,Royalties,XRY
1836,Signatum,SIGT
1837,Coimatic 2.0,CTIC2
1838,OracleChain,OCT
1839,Binance Coin,BNB
1840,300 Token,300
1841,Primalbase Token,PBT
1842,CampusCoin,CMPCO
1843,EmberCoin,EMB
1845,IXT,IXT
1846,GeyserCoin,GSR
1847,Mothership,MSP
1848,Aseancoin,ASN
1849,Birds,BIRDS
1850,Cream,CRM
1851,ERA,ERA
1852,KekCoin,KEK
1853,OAX,OAX
1856,district0x,DNT
1857,FundYourselfNow,FYN
1861,Stox,STX
1863,Minex,MINEX
1864,Blox,CDT
1865,Wink,WINK
1866,Bytom,BTM
1869,Mao Zedong,MAO
1871,First Bitcoin Capital,BITCF
1872,NEVERDIE,NDC
1873,Blocktix,TIX
1876,Dentacoin,DCN
1877,Rupaya,RUPX
1878,Shadow Token,SHDW
1881,DeepOnion,ONION
1882,BlockCAT,CAT
1883,AdShares,ADST
1884,DigitalDevelopersFund,DDF
1885,BitAsean,BAS
1886,Dent,DENT
1887,Monster Byte,MBI
1888,InvestFeed,IFT
1889,CoinonatX,XCXT
1890,Etheriya,RIYA
1894,The ChampCoin,TCC
1896,0x,ZRX
1897,Bolenum,BLN
1898,Smoke,SMOKE
1899,YOYOW,YOYOW
1900,Growers International,GRWI
1902,MyBit Token,MYB
1903,Hshare,HSR
1904,VeChain,VEN
1905,TrueFlip,TFL
1907,XTD Coin,XTD
1908,Nebulas,NAS
1910,ATMCoin,ATMC
1912,Dalecoin,DALC
1913,Protean,PRN
1915,AdCoin,ACC
1916,BiblePay,BBP
1917,bitqy,BQ
1918,Achain,ACT
1920,NamoCoin,NAMO
1921,SIGMAcoin,SIGMA
1922,Monoeci,XMCC
1923,Tierion,TNT
1925,Waltonchain,WTC
1926,BROTHER,BRAT
1927,Ulatech,ULA
1930,Primas,PST
1931,Opus,OPT
1933,Suretly,SUR
1934,Loopring,LRC
1935,LiteCoin Ultra,LTCU
1937,Po.et,POE
1938,Fujinto,NTO
1942,StarCredits,STRC
1943,Kronecoin,KRONE
1945,Cyder,CYDER
1946,Masternodecoin,MTNC
1947,Monetha,MTH
1948,Aventus,AVT
1949,Agrello,DLT
